"URL-адрес страницы","Код ответа сервера страницы","Код ответа сервера для Target URL","Target URL","Ссылающиеся страницы","В карте сайта",Hreflang
https://www.mrcar.ee/,200,301,https://www.mrcar.ee/ru/,53,Нет,"{en: https://www.mrcar.ee/en/, et: https://www.mrcar.ee/, ru: https://www.mrcar.ee/ru/, x-default: https://www.mrcar.ee/}"
https://www.mrcar.ee/,200,301,https://www.mrcar.ee/en/,53,Нет,"{en: https://www.mrcar.ee/en/, et: https://www.mrcar.ee/, ru: https://www.mrcar.ee/ru/, x-default: https://www.mrcar.ee/}"
https://mrcar.ee/,200,301,https://www.mrcar.ee/ru/,18,Нет,"{en: https://www.mrcar.ee/en/, et: https://www.mrcar.ee/, ru: https://www.mrcar.ee/ru/, x-default: https://www.mrcar.ee/}"
https://mrcar.ee/,200,301,https://www.mrcar.ee/en/,18,Нет,"{en: https://www.mrcar.ee/en/, et: https://www.mrcar.ee/, ru: https://www.mrcar.ee/ru/, x-default: https://www.mrcar.ee/}"
https://mrcar.ee/teenused,200,301,https://www.mrcar.ee/teenused.html,0,Нет,"{en: https://www.mrcar.ee/en/services.html, et: https://www.mrcar.ee/teenused.html, ru: https://www.mrcar.ee/ru/uslugi.html, x-default: https://www.mrcar.ee/teenused.html}"
https://mrcar.ee/teenused,200,301,https://www.mrcar.ee/ru/uslugi.html,0,Нет,"{en: https://www.mrcar.ee/en/services.html, et: https://www.mrcar.ee/teenused.html, ru: https://www.mrcar.ee/ru/uslugi.html, x-default: https://www.mrcar.ee/teenused.html}"
https://mrcar.ee/teenused,200,301,https://www.mrcar.ee/en/services.html,0,Нет,"{en: https://www.mrcar.ee/en/services.html, et: https://www.mrcar.ee/teenused.html, ru: https://www.mrcar.ee/ru/uslugi.html, x-default: https://www.mrcar.ee/teenused.html}"
https://mrcar.ee/hinnad,200,301,https://www.mrcar.ee/prices.html,12,Нет,"{en: https://www.mrcar.ee/en/prices.html, et: https://www.mrcar.ee/prices.html, ru: https://www.mrcar.ee/ru/prices.html, x-default: https://www.mrcar.ee/prices.html}"
https://mrcar.ee/hinnad,200,301,https://www.mrcar.ee/ru/prices.html,12,Нет,"{en: https://www.mrcar.ee/en/prices.html, et: https://www.mrcar.ee/prices.html, ru: https://www.mrcar.ee/ru/prices.html, x-default: https://www.mrcar.ee/prices.html}"
https://mrcar.ee/hinnad,200,301,https://www.mrcar.ee/en/prices.html,12,Нет,"{en: https://www.mrcar.ee/en/prices.html, et: https://www.mrcar.ee/prices.html, ru: https://www.mrcar.ee/ru/prices.html, x-default: https://www.mrcar.ee/prices.html}"
https://mrcar.ee/galerii,200,301,https://www.mrcar.ee/prices.html,0,Нет,"{en: https://www.mrcar.ee/en/prices.html, et: https://www.mrcar.ee/prices.html, ru: https://www.mrcar.ee/ru/prices.html, x-default: https://www.mrcar.ee/prices.html}"
